ACCIDENT_NO,ATMOSPH_COND_DESC,ATMOSPH_INDEX
T20180008199,Clear,1.0
T20180008200,Clear,1.0
T20180008202,Clear,1.0
T20180008205,Clear,1.0
T20180008209,Clear,1.0
T20180008211,Clear,1.0
T20180008213,Clear,1.0
T20180008216,Clear,1.0
T20180008217,Clear,1.0
T20180008218,Clear,1.0
T20180008219,Clear,1.0
T20180008220,Clear,1.0
T20180008221,Clear,1.0
T20180008222,Clear,1.0
T20180008223,Clear,1.0
T20180008224,Clear,1.0
T20180008225,Clear,1.0
T20180008228,Smoke,5.0
T20180008231,Clear,1.0
T20180008232,Clear,1.0
T20180008236,Clear,1.0
T20180008246,Clear,1.0
T20180008248,Clear,1.0
T20180008257,Clear,1.0
T20180008265,Clear,1.0
T20180008266,Clear,1.0
T20180008268,Clear,1.0
T20180008270,Clear,1.0
T20180008271,Clear,1.0
T20180008273,Clear,1.0
T20180008275,Clear,1.0
T20180008276,Clear,1.0
T20180008279,Clear,1.0
T20180008280,Clear,1.0
T20180008283,Clear,1.0
T20180008286,Clear,1.0
T20180008289,Clear,1.0
T20180008291,Clear,1.0
T20180008292,Clear,1.0
T20180008293,Clear,1.0
T20180008295,Clear,1.0
T20180008296,Clear,1.0
T20180008304,Clear,1.0
T20180008305,Clear,1.0
T20180008307,Clear,1.0
T20180008310,Clear,1.0
T20180008311,Clear,1.0
T20180008317,Clear,1.0
T20180008318,Clear,1.0
T20180008321,Clear,1.0
T20180008322,Clear,1.0
T20180008324,Clear,1.0
T20180008326,Clear,1.0
T20180008327,Clear,1.0
T20180008328,Clear,1.0
T20180008329,Clear,1.0
T20180008332,Clear,1.0
T20180008335,Clear,1.0
T20180008336,Clear,1.0
T20180008347,Clear,1.0
T20180008349,Clear,1.0
T20180008350,Clear,1.0
T20180008352,"Raining, Strong winds",2.33
T20180008363,Clear,1.0
T20180008364,Clear,1.0
T20180008365,Clear,1.0
T20180008366,Clear,1.0
T20180008367,"Clear, Strong winds",1.67
T20180008368,Clear,1.0
T20180008372,Raining,3.0
T20180008373,Clear,1.0
T20180008376,"Clear, Strong winds",1.67
T20180008378,"Raining, Strong winds",2.33
T20180008380,Clear,1.0
T20180008381,Clear,1.0
T20180008383,Clear,1.0
T20180008384,Clear,1.0
T20180008385,"Clear, Strong winds",1.67
T20180008387,Raining,3.0
T20180008388,Clear,1.0
T20180008389,Raining,3.0
T20180008391,Raining,3.0
T20180008393,Clear,1.0
T20180008395,Raining,3.0
T20180008396,Raining,3.0
T20180008397,Raining,3.0
T20180008401,Raining,3.0
T20180008402,Raining,3.0
T20180008404,Clear,1.0
T20180008405,Raining,3.0
T20180008406,Clear,1.0
