ACCIDENT_NO,SURFACE_COND_DESC,SURFACE_INDEX
T20210008821,Wet,2.0
T20210008822,Wet,2.0
T20210008823,Wet,2.0
T20210008824,Wet,2.0
T20210008825,Wet,2.0
T20210008826,Dry,1.0
T20210008827,Wet,2.0
T20210008828,Wet,2.0
T20210008829,Wet,2.0
T20210008831,Wet,2.0
T20210008833,Wet,2.0
T20210008835,Wet,2.0
T20210008837,Wet,2.0
T20210008838,Wet,2.0
T20210008839,Dry,1.0
T20210008842,Dry,1.0
T20210008843,Wet,2.0
T20210008847,Dry,1.0
T20210008848,Dry,1.0
T20210008849,Wet,2.0
T20210008852,Dry,1.0
T20210008853,Dry,1.0
T20210008856,Dry,1.0
T20210008858,Dry,1.0
T20210008859,Wet,2.0
T20210008864,Dry,1.0
T20210008867,Dry,1.0
T20210008873,Dry,1.0
T20210008875,Dry,1.0
T20210008876,Dry,1.0
T20210008877,Dry,1.0
T20210008879,Dry,1.0
T20210008880,Dry,1.0
T20210008883,Dry,1.0
T20210008885,Dry,1.0
T20210008888,Dry,1.0
T20210008894,Dry,1.0
T20210008898,Wet,2.0
T20210008899,Dry,1.0
T20210008901,Dry,1.0
T20210008902,Dry,1.0
T20210008905,Dry,1.0
T20210008906,Dry,1.0
T20210008909,Dry,1.0
T20210008910,Dry,1.0
T20210008911,Dry,1.0
T20210008913,Dry,1.0
T20210008914,Dry,1.0
T20210008917,Dry,1.0
T20210008919,Dry,1.0
T20210008922,Dry,1.0
T20210008923,Dry,1.0
T20210008924,Dry,1.0
T20210008928,Dry,1.0
T20210008929,Dry,1.0
T20210008931,Dry,1.0
T20210008932,Dry,1.0
T20210008933,Wet,2.0
T20210008935,Dry,1.0
T20210008939,Wet,2.0
T20210008941,Dry,1.0
T20210008944,Dry,1.0
T20210008945,Dry,1.0
T20210008946,Dry,1.0
T20210008952,Dry,1.0
T20210008954,Wet,2.0
T20210008959,Dry,1.0
T20210008961,Dry,1.0
T20210008962,Dry,1.0
T20210008963,Dry,1.0
T20210008964,Wet,2.0
T20210008965,Dry,1.0
T20210008966,Dry,1.0
T20210008967,Dry,1.0
T20210008968,Dry,1.0
T20210008971,Dry,1.0
T20210008972,Dry,1.0
T20210008973,Wet,2.0
T20210008974,Dry,1.0
